Report,Waterfall,Time,Weight,Beta,Browser,"Browser Major",Cohort,Colo,"Connection Speed",Country,"Global City","Is Https",Locale,"Logged In",Major,Page,"Page Type",Platform,"Rendering Engine","Rendering Engine Version","Site Category","Svn Revision",Valid,"Valid Record",Vip,"Zip Code",Hits,"Server Time","Flush Time Early","Network Time",TTI,"e2e Time","JS Orig Bytes","JS File Bytes","JS Pkg Bytes","JS Packages","CSS Orig Bytes","CSS File Bytes","CSS Pkg Bytes","CSS Packages","HTML Bytes","HTML Bytes (gz)","Cookie Bytes","Zoom Level",ip,id,server,uid
1317792137,10000,"Tue, Oct 04 2011, 10:22:17 PM",39,prod,997,1065,1777,4374,56522,CL,328660,3098,7835,yes,14,33016,9022,465,WebKit,535.1,453330,Chrome,"Chrome 14",ash2c03,prod,yes,14,WinXP,yes,66.220.153.23,NORMAL,/widgets/like.php,no,9999,328660,-,CL,yes,es_LA,broadband,535.1,WebKit,3127544975,5659874133042365850,10.144.130.121,812423451,10.144.130.121,812423451
1317792137,10000,"Tue, Oct 04 2011, 10:22:17 PM",55,prod,173,242,329,4374,56598,PL,1881861,4444,8097,yes,14,35624,9878,289,WebKit,535.1,453330,Chrome,"Chrome 14",ash2c03,prod,yes,14,Win7,yes,66.220.153.19,NORMAL,/plugins/like.php,no,9999,1881861,-,PL,yes,pl_PL,broadband,535.1,WebKit,1581994116,5659874133284803287,10.144.225.111,1601222024,10.144.225.111,1601222024
1317792137,10000,"Tue, Oct 04 2011, 10:22:17 PM",194,prod,Nokia,"Nokia 0",9999,snc5c02,mobile,ID,962899,no,id_ID,yes,0,/wap/story.php,MOBILE_WAP,unknown,Unknown,0,453330,Nokia,"Nokia 0",snc5c02,prod,yes,0,unknown,yes,66.220.149.76,MOBILE_WAP,/wap/story.php,no,9999,962899,m_basic,ID,yes,id_ID,mobile,0,Unknown,1912870352,5659874133452670922,10.42.252.75,100001030360243,10.42.252.75,100001030360243
1317792137,10000,"Tue, Oct 04 2011, 10:22:17 PM",112,prod,473,757,913,13693,57951,62755,5,7204,10497,16919,3,43497,13857,215,Trident,14620,453330,IE,"IE 8",snc5c02,prod,yes,8,Win7,yes,66.220.149.11,NORMAL,/index.php,no,9999,2673660,5,MX,no,es_ES,broadband,4.0,Trident,3180456727,5659874133485047750,10.43.74.31,0,10.43.74.31,0
1317792138,10000,"Tue, Oct 04 2011, 10:22:18 PM",26,prod,262,697,757,3890,15887,52593,1,1017,2291,yes,14,/plugins/send.php,NORMAL,311,WebKit,535.1,453330,Chrome,"Chrome 14",prn1c06,prod,yes,14,Win7,yes,262,NORMAL,/plugins/send.php,yes,9999,892542,1,HK,yes,zh_TW,broadband,535.1,WebKit,3707171577,5659874135667855197,10.64.253.57,1250751461,10.64.253.57,1250751461
1317792138,10000,"Tue, Oct 04 2011, 10:22:18 PM",10000,prod,"Facebook for iOS","Facebook for iOS 0",9999,prn1c01,cable,US,2421836,no,en_US,yes,0,/wap/stories.php,MOBILE_WAP,"iPhone OSX",WebKit,533.17.9,453330,"Facebook for iOS","Facebook for iOS 0",prn1c01,prod,no,0,"iPhone OSX",no,69.171.224.52,MOBILE_WAP,/wap/stories.php,no,9999,2421836,m_faceweb_ipad,US,yes,en_US,cable,533.17.9,WebKit,1660469926,5659874135905394291,10.54.85.37,100001589872220,10.54.85.37,100001589872220
1317792138,10000,"Tue, Oct 04 2011, 10:22:18 PM",10000,prod,BlackBerry,"BlackBerry 0",9999,prn1c06,broadband,MX,2673660,no,es_LA,yes,0,/wap/profile.php,MOBILE_WAP,"BlackBerry OS",Unknown,0,453330,BlackBerry,"BlackBerry 0",prn1c06,prod,no,0,"BlackBerry OS",no,69.171.229.31,MOBILE_WAP,/wap/profile.php,no,9999,2673660,m_basic,MX,yes,es_LA,broadband,0,Unknown,3478374603,5659874136086570480,10.64.166.46,1097401153,10.64.166.46,1097401153
1317792138,10000,"Tue, Oct 04 2011, 10:22:18 PM",10000,prod,Firefox,"Firefox 7",9999,ash2c02,broadband,BA,128665,no,sr_RS,yes,7,/ajax/home/group.php,AJAX,WinXP,Gecko,7.0.1,453095,Firefox,"Firefox 7",ash2c02,prod,no,7,WinXP,no,69.63.190.14,AJAX,/ajax/home/group.php,no,9999,128665,-,BA,yes,sr_RS,broadband,7.0.1,Gecko,1307527735,5659874136122746357,10.140.97.124,100000517232059,10.140.97.124,100000517232059
1317792138,10000,"Tue, Oct 04 2011, 10:22:18 PM",10000,prod,iPhone,"iPhone 4",9999,prn1c06,mobile,US,2523484,no,en_US,yes,4,/wap/stories.php,MOBILE_WAP,"iPhone OSX",WebKit,37209,453095,iPhone,"iPhone 4",prn1c06,prod,no,4,"iPhone OSX",no,69.171.229.32,MOBILE_WAP,/wap/stories.php,no,9999,2523484,m_touch,US,yes,en_US,mobile,533.17.9,WebKit,2935798156,5659874136131111700,10.64.219.40,780009044,10.64.219.40,780009044
1317792138,10000,"Tue, Oct 04 2011, 10:22:18 PM",25,prod,1088,2706,2769,4374,56454,CA,296733,3171,8074,no,8,33908,9205,76,Trident,"v3s 1t7",453330,IE,"IE 8",prn1c01,prod,yes,8,WinXP,yes,69.171.224.14,NORMAL,/plugins/like.php,no,9999,296733,-,CA,no,en_US,cable,4.0,Trident,1179055504,5659874136227768847,10.54.237.49,0,10.54.237.49,0
1317792138,10000,"Tue, Oct 04 2011, 10:22:18 PM",797,29,334,1504,1891,50267,151361,122017,9,21901,29961,16299,6,300025,58629,432,Trident,5.0,453330,IE,"IE 9",prn1c01,prod,yes,9,Win7,yes,69.171.224.39,QUICKLING,/profile.php,no,9999,2436013,9,US,yes,en_US,broadband,5.0,Trident,1224603554,5659874136268244273,10.54.154.30,100001830348639,10.54.154.30,100001830348639
1317792138,10000,"Tue, Oct 04 2011, 10:22:18 PM",100,prod,307,860,1241,7195,60382,116310,5,5022,7802,17505,3,50898,17218,173,Gecko,7.0.1,453330,Firefox,"Firefox 7",ash2c01,prod,yes,7,Win7,yes,307,NORMAL,/dialog/permissions.request,yes,9999,1379501,5,LV,yes,lv_LV,t1,7.0.1,Gecko,1442760928,5659874136323870683,10.136.16.122,100001299604011,10.136.16.122,100001299604011
